Obstacle,Acceleration,Velocity,Orientation,GPS
,"[0.01652042, 0.018498395, 0.99820155]","[0.011142105, 0.0009262562, -0.00621891]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
,,,,"[3.5295395611121943e-09, 1.238142262611991e-08]"
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016501274, 0.01849715, 0.9982025]","[0.014725268, 0.0081985295, -0.02287674]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016474487, 0.018472914, 0.99820435]","[0.0069930553, -0.0008176565, 0.027841568]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.01646397, 0.018473277, 0.9982049]","[2.573938e-05, -0.022205442, -0.015242577]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
,,,,"[3.500946971900169e-09, 1.2419811385298617e-08]"
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.01647362, 0.018513124, 0.9982035]","[0.0046163797, 0.003195107, -0.010507584]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016487716, 0.01852719, 0.99820256]","[0.00010544062, -0.009001642, 0.023234367]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
,,,,"[3.4723529400685743e-09, 1.2458196577148351e-08]"
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016543735, 0.018535102, 0.99819964]","[0.010661542, 0.0026056468, 0.0019321442]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016507056, 0.018510804, 0.99820197]","[0.005291879, 0.010294557, -0.010005951]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016526261, 0.018521847, 0.9982008]","[0.008058965, -0.011313826, -0.0025901794]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
,,,,"[3.443757465660093e-09, 1.2496578201829803e-08]"
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016501334, 0.018503033, 0.9982024]","[0.0004426837, -0.006235659, 0.008857727]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016507862, 0.018550362, 0.9982011]","[0.013830185, -4.2706728e-05, 0.0013961792]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,,,,"[3.41516054871132e-09, 1.2534956259494443e-08]"
,"[0.016475393, 0.018541357, 0.99820286]","[0.01175499, -0.021269321, -0.006011963]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016446028, 0.018541435, 0.9982043]","[0.004028946, -0.0069422424, -0.0039577484]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.016446017, 0.01851295, 0.9982049]","[2.537193e-05, 0.012590557, 0.016907692]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,,,,"[3.3865621892669955e-09, 1.2573330750311195e-08]"
,"[0.016414087, 0.018518083, 0.9982064]","[0.0011143386, 0.0007305145, -0.0013971329]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.01644762, 0.018475816, 0.9982056]","[0.0018584728, 0.011045456, -0.008824348]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
[False],,,,
,"[0.01643723, 0.01845724, 0.9982065]","[0.013412684, -0.00056910515, 0.021875381]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",
,,,,"[3.3579623873690556e-09, 1.2611701674435518e-08]"
[False],,,,
[False],,,,
